
           ___      .______        ______  __    __  .______      
          /   \     |   _  \      /      ||  |  |  | |   _  \     
         /  ^  \    |  |_)  |    |  ,----'|  |__|  | |  |_)  |    
        /  /_\  \   |      /     |  |     |   __   | |      /     
       /  _____  \  |  |\  \\___ |  `----.|  |  |  | |  |\  \\___.
      /__/     \__\ | _| `._____| \______||__|  |__| | _| `._____|
    
Logging With ArchR!
[31] tibble_2.1.3                       tidyverse_1.3.0                   
[33] irlba_2.3.3                        Matrix_1.2-18                     
[35] gridExtra_2.3                      wesanderson_0.3.6                 
[37] pheatmap_1.0.12                    ggplot2_3.3.2                     
[39] RColorBrewer_1.1-2                 clusterExperiment_2.6.1           
[41] bigmemory_4.5.36                   rgl_0.100.30                      
[43] cowplot_1.0.0                      SingleCellExperiment_1.8.0        
[45] SummarizedExperiment_1.16.1        DelayedArray_0.12.2               
[47] BiocParallel_1.20.1                matrixStats_0.56.0                
[49] Biobase_2.46.0                     GenomicRanges_1.38.0              
[51] GenomeInfoDb_1.22.0                IRanges_2.20.2                    
[53] S4Vectors_0.24.3                   BiocGenerics_0.32.0               
[55] slingshot_1.5.2                    princurve_2.1.4                   

loaded via a namespace (and not attached):
  [1] R.methodsS3_1.7.1           pkgmaker_0.31              
  [3] bit64_0.9-7                 knitr_1.28                 
  [5] R.utils_2.9.2               KEGGREST_1.26.1            
  [7] TFBSTools_1.22.0            RCurl_1.98-1.1             
  [9] doParallel_1.0.15           generics_0.0.2             
 [11] RSQLite_2.2.0               VGAM_1.1-2                 
 [13] RANN_2.6.1                  future_1.16.0              
 [15] ggfittext_0.9.0             bit_1.1-15.2               
 [17] phylobase_0.8.6             webshot_0.5.2              
 [19] xml2_1.3.2                  lubridate_1.7.4            
 [21] httpuv_1.5.2                assertthat_0.2.1           
 [23] DirichletMultinomial_1.26.0 viridis_0.5.1              
 [25] xfun_0.12                   hms_0.5.3                  
 [27] evaluate_0.14               promises_1.1.0             
 [29] fansi_0.4.1                 progress_1.2.2             
 [31] caTools_1.18.0              dbplyr_1.4.2               
 [33] readxl_1.3.1                igraph_1.2.4.2             
 [35] DBI_1.1.0                   htmlwidgets_1.5.1          
 [37] ellipsis_0.3.0              gggenes_0.4.0              
 [39] RSpectra_0.16-0             crosstalk_1.0.0            
 [41] backports_1.1.5             annotate_1.64.0            
 [43] gridBase_0.4-7              locfdr_1.1-8               
 [45] RcppParallel_4.4.4          vctrs_0.2.2                
 [47] Cairo_1.5-10                here_0.1                   
 [49] ROCR_1.0-7                  withr_2.1.2                
 [51] sctransform_0.2.1           GenomicAlignments_1.22.1   
 [53] prettyunits_1.1.1           softImpute_1.4             
 [55] cluster_2.1.0               seqLogo_1.50.0             
 [57] ape_5.3                     lazyeval_0.2.2             
 [59] crayon_1.3.4                genefilter_1.68.0          
 [61] labeling_0.3                edgeR_3.28.0               
 [63] pkgconfig_2.0.3             nlme_3.1-142               
 [65] vipor_0.4.5                 rlang_0.4.4.9000           
 [67] globals_0.12.5              lifecycle_0.1.0            
 [69] miniUI_0.1.1.1              registry_0.5-1             
 [71] bigmemory.sri_0.1.3         modelr_0.1.5               
 [73] rsvd_1.0.2                  cellranger_1.1.0           
 [75] rprojroot_1.3-2             lmtest_0.9-37              
 [77] rngtools_1.5                ggseqlogo_0.1              
 [79] Rhdf5lib_1.8.0              zoo_1.8-7                  
 [81] reprex_0.3.0                beeswarm_0.2.3             
 [83] GlobalOptions_0.1.1         ggridges_0.5.2             
 [85] rjson_0.2.20                png_0.1-7                  
 [87] viridisLite_0.3.0           bitops_1.0-6               
 [89] R.oo_1.23.0                 rncl_0.8.3                 
 [91] KernSmooth_2.23-16          blob_1.2.1                 
 [93] DelayedMatrixStats_1.8.0    shape_1.4.4                
 [95] manipulateWidget_0.10.0     zinbwave_1.11.6            
 [97] CNEr_1.20.0                 scales_1.1.0               
 [99] memoise_1.1.0               plyr_1.8.5                 
[101] ica_1.0-2                   howmany_0.3-1              
[103] gplots_3.0.1.2              bibtex_0.4.2.2             
[105] gdata_2.18.0                zlibbioc_1.32.0            
[107] compiler_3.6.2              lsei_1.2-0                 
[109] dqrng_0.2.1                 clue_0.3-57                
[111] fitdistrplus_1.0-14         Rsamtools_2.2.1            
[113] cli_2.0.1                   ade4_1.7-13                
[115] listenv_0.8.0               pbapply_1.4-2              
[117] MASS_7.3-51.4               tidyselect_1.0.0           
[119] stringi_1.4.5               yaml_2.2.1                 
[121] BiocSingular_1.2.1          locfit_1.5-9.1             
[123] ggrepel_0.8.1               tools_3.6.2                
[125] future.apply_1.4.0          rstudioapi_0.11            
[127] uuid_0.1-2                  TFMPvalue_0.0.8            
[129] foreach_1.4.7               RNeXML_2.4.2               
[131] farver_2.0.3                Rtsne_0.15                 
[133] digest_0.6.23               FNN_1.1.3                  
[135] shiny_1.4.0                 broom_0.5.4                
[137] later_1.0.0                 RcppAnnoy_0.0.14           
[139] httr_1.4.1                  AnnotationDbi_1.48.0       
[141] npsurv_0.4-0                kernlab_0.9-29             
[143] colorspace_1.4-1            rvest_0.3.5                
[145] XML_3.99-0.3                fs_1.3.1                   
[147] reticulate_1.14             splines_3.6.2              
[149] statmod_1.4.33              plotly_4.9.1               
[151] xtable_1.8-4                poweRlaw_0.70.2            
[153] jsonlite_1.6.1              R6_2.4.1                   
[155] pillar_1.4.3                htmltools_0.4.0            
[157] mime_0.9                    NMF_0.21.0                 
[159] glue_1.3.1                  fastmap_1.0.1              
[161] BiocNeighbors_1.4.1         codetools_0.2-16           
[163] tsne_0.1-3                  lattice_0.20-38            
[165] ggbeeswarm_0.6.0            leiden_0.3.4               
[167] gtools_3.8.1                GO.db_3.10.0               
[169] survival_3.1-8              limma_3.42.1               
[171] rmarkdown_2.1               munsell_0.5.0              
[173] GetoptLong_0.1.8            GenomeInfoDbData_1.2.2     
[175] iterators_1.0.12            HDF5Array_1.14.1           
[177] haven_2.2.0                 reshape2_1.4.3             
[179] gtable_0.3.0               


------- Log Info


2020-12-03 18:36:44 : peakAnnoEnrichment Input-Parameters, Class = list

peakAnnoEnrichment Input-Parameters$seMarker: length = 190052
class: SummarizedExperiment 
dim: 6 5 
metadata(2): MatchInfo Params
assays(7): Log2FC Mean ... AUC MeanBGD
rownames(6): 1 2 ... 5 6
rowData names(4): seqnames idx start end
colnames(5): C1_Inj C2_Hybrid hybrid1 hybrid2 resting
colData names(0):


peakAnnoEnrichment Input-Parameters$ArchRProj: length = 1
class: ArchRProject 
outputDirectory: /Users/koenvandenberge/Dropbox/research/brainStat/hbcRegenGithub/data/scATAC/archR_samples_pairwise_v2 
samples(6): s1Inj s3Inj ... s2Inj s1UI
sampleColData names(1): ArrowFiles
cellColData names(22): Sample TSSEnrichment ... FRIP predAnn
numberOfCells(1): 1
medianTSS(1): 13.414
medianFrags(1): 97573


peakAnnoEnrichment Input-Parameters$peakAnnotation: length = 1
[1] "Motif"


peakAnnoEnrichment Input-Parameters$matches: length = 0
NULL


peakAnnoEnrichment Input-Parameters$cutOff: length = 1
[1] "FDR <= 0.05 & Log2FC >= 0.5"


peakAnnoEnrichment Input-Parameters$background: length = 1
[1] "all"


peakAnnoEnrichment Input-Parameters$logFile: length = 1
[1] "ArchRLogs/ArchR-peakAnnoEnrichment-175b870a8b9dc-Date-2020-12-03_Time-18-36-43.log"



2020-12-03 18:36:45 : Peaks-Matches, Class = GRanges
GRanges object with 190052 ranges and 0 metadata columns:
            seqnames              ranges strand
               <Rle>           <IRanges>  <Rle>
  C2_Hybrid     chr1     3094009-3094509      *
    hybrid2     chr1     3094598-3095098      *
     C1_Inj     chr1     3164668-3165168      *
  C2_Hybrid     chr1     3203760-3204260      *
    resting     chr1     3221042-3221542      *
        ...      ...                 ...    ...
    hybrid1     chrX 169930547-169931047      *
    hybrid1     chrX 169931228-169931728      *
    resting     chrX 169937043-169937543      *
  C2_Hybrid     chrX 169940457-169940957      *
    resting     chrX 169950951-169951451      *
  -------
  seqinfo: 20 sequences from an unspecified genome; no seqlengths


2020-12-03 18:36:45 : Peaks-ArchRProj, Class = GRanges
GRanges object with 190052 ranges and 0 metadata columns:
            seqnames              ranges strand
               <Rle>           <IRanges>  <Rle>
  C2_Hybrid     chr1     3094009-3094509      *
    hybrid2     chr1     3094598-3095098      *
     C1_Inj     chr1     3164668-3165168      *
  C2_Hybrid     chr1     3203760-3204260      *
    resting     chr1     3221042-3221542      *
        ...      ...                 ...    ...
    hybrid1     chrX 169930547-169931047      *
    hybrid1     chrX 169931228-169931728      *
    resting     chrX 169937043-169937543      *
  C2_Hybrid     chrX 169940457-169940957      *
    resting     chrX 169950951-169951451      *
  -------
  seqinfo: 20 sequences from an unspecified genome; no seqlengths


2020-12-03 18:36:45 : Peaks-SeMarker, Class = GRanges
GRanges object with 190052 ranges and 0 metadata columns:
           seqnames              ranges strand
              <Rle>           <IRanges>  <Rle>
       [1]     chr1     3094009-3094509      *
       [2]     chr1     3094598-3095098      *
       [3]     chr1     3164668-3165168      *
       [4]     chr1     3203760-3204260      *
       [5]     chr1     3221042-3221542      *
       ...      ...                 ...    ...
  [190048]     chrX 169930547-169931047      *
  [190049]     chrX 169931228-169931728      *
  [190050]     chrX 169937043-169937543      *
  [190051]     chrX 169940457-169940957      *
  [190052]     chrX 169950951-169951451      *
  -------
  seqinfo: 20 sequences from an unspecified genome; no seqlengths


2020-12-03 18:36:45 : Peaks-Pasted-Matches, Class = character

Peaks-Pasted-Matches: length = 190052
[1] "chr1_3094009_3094509" "chr1_3094598_3095098" "chr1_3164668_3165168"
[4] "chr1_3203760_3204260" "chr1_3221042_3221542" "chr1_3249187_3249687"



2020-12-03 18:36:45 : Peaks-Pasted-ArchRProj, Class = character

Peaks-Pasted-ArchRProj: length = 190052
[1] "chr1_3094009_3094509" "chr1_3094598_3095098" "chr1_3164668_3165168"
[4] "chr1_3203760_3204260" "chr1_3221042_3221542" "chr1_3249187_3249687"



2020-12-03 18:36:45 : Peaks-Pasted-SeMarker, Class = character

Peaks-Pasted-SeMarker: length = 190052
[1] "chr1_3094009_3094509" "chr1_3094598_3095098" "chr1_3164668_3165168"
[4] "chr1_3203760_3204260" "chr1_3221042_3221542" "chr1_3249187_3249687"


2020-12-03 18:36:48 : Computing Enrichments 1 of 5, 0.075 mins elapsed.
2020-12-03 18:36:48 : Computing Enrichments 2 of 5, 0.084 mins elapsed.
2020-12-03 18:36:49 : Computing Enrichments 3 of 5, 0.094 mins elapsed.
2020-12-03 18:36:50 : Computing Enrichments 4 of 5, 0.103 mins elapsed.
2020-12-03 18:36:50 : Computing Enrichments 5 of 5, 0.113 mins elapsed.

------- Completed

End Time : 2020-12-03 18:36:51
Elapsed Time Minutes = 0.142512349287669
Elapsed Time Hours = 0.00237546748585171

-------



